Years,Entity,Origin,Category,Two-Word Caption,Brief Description
3000-2000 BCE,Abacus,Ancient China,Computational Device,Counting Tool,Early computational device used for calculations and accounting
150-100 BCE,Antikythera mechanism,Ancient Greece,Computational Device,Astronomical Calculator,Ancient Greek analog computer used to predict astronomical positions
1200s,Al-Jazari,Middle East,Pioneer,Mechanical Automata,Engineer and inventor who created programmable automata and mechanical devices
1600s,Blaise Pascal,France,Pioneer,Mechanical Calculator,Mathematician and inventor who created an early mechanical calculator
1673,Gottfried Wilhelm Leibniz,Germany,Pioneer,Stepped Reckoner,Mathematician and inventor who developed advanced mechanical calculator with multiplication
1801,Joseph Marie Jacquard,France,Pioneer,Programmable Loom,Inventor who developed automated loom controlled by punched cards
1822-1837,Charles Babbage,United Kingdom,Pioneer,Analytical Engine,Independent inventor who designed Difference Engine and Analytical Engine
1843,Ada Lovelace,United Kingdom,Pioneer,First Algorithm,Mathematician and analyst who wrote the first algorithm for Analytical Engine
1854,George Boole,United Kingdom,Pioneer,Boolean Algebra,Mathematician at University College Cork who developed Boolean algebra
1885,William Burroughs,United States,Pioneer,Adding Machine,Inventor and entrepreneur who developed mechanical adding machines
1890,Herman Hollerith,United States,Pioneer,Tabulating Machine,Founder at Tabulating Machine Company who invented punch card tabulation
1896,Tabulating Machine Company,United States,Institution,Business Machines,Early company that later became part of IBM
1925,Bell Labs,United States,Institution,Research Organization,Corporate laboratory that pioneered many computing innovations
1936,Alan Turing,United Kingdom,Pioneer,Computation Theory,Mathematician at Cambridge/NPL who developed theoretical foundations of computing
1937,Claude Shannon,United States,Pioneer,Boolean Logic,Information theorist who applied Boolean algebra to circuit design
1940s,Bletchley Park,United Kingdom,Institution,Code Breaking,Research institution that developed early computing for cryptography
1941,Konrad Zuse,Germany,Pioneer,Z3 Computer,Independent inventor who built Z1, Z2, Z3, Z4 computers
1942,John Atanasoff,United States,Pioneer,ABC Computer,Professor at Iowa State University who developed first electronic digital computer
1942,Clifford Berry,United States,Pioneer,ABC Computer,Graduate student at Iowa State who collaborated with Atanasoff on ABC computer
1943,Colossus,United Kingdom,Computing System,Code Breaking,Early electronic computer designed to break German codes
1943,McCulloch and Pitts,United States,Researchers,Neural Networks,Developed the first mathematical model of neural networks
1944,Howard Aiken,United States,Pioneer,Harvard Mark I,Professor at Harvard University who developed Mark I computer
1945,John von Neumann,United States,Pioneer,Computer Architecture,Mathematician at Princeton who pioneered stored-program architecture
1945,Vannevar Bush,United States,Pioneer,Memex Concept,Engineer and administrator who conceptualized the Memex information system
1945,IBM,United States,Corporation,Research Division,Computing corporation that developed key computing technologies
1946,ENIAC,United States,Computing System,Electronic Computer,First general-purpose electronic digital computer
1946,University of Pennsylvania,United States,Institution,ENIAC Development,Research institution where ENIAC was developed
1947,William Shockley,United States,Pioneer,Transistor Invention,Physicist who co-invented the transistor at Bell Labs
1947,John Bardeen,United States,Pioneer,Transistor Invention,Physicist who co-invented the transistor at Bell Labs
1947,Walter Brattain,United States,Pioneer,Transistor Invention,Physicist who co-invented the transistor at Bell Labs
1948,Claude Shannon,United States,Pioneer,Information Theory,Mathematician who developed information theory at Bell Labs
1948,Manchester Baby,United Kingdom,Computing System,Stored Program,First computer with electronically stored program
1949,EDSAC,United Kingdom,Computing System,Stored Program,Early British computer with stored programs
1950,Ben Laposky,United States,Artist,Electronic Art,Mathematician and artist who created first electronic oscilloscope art
1950,Alan Turing,United Kingdom,Pioneer,Computing Intelligence,Mathematician who proposed the Turing Test for machine intelligence
1951,UNIVAC I,United States,Computing System,Commercial Computer,First commercial computer in the United States
1951,Grace Hopper,United States,Pioneer,First Compiler,Mathematician at Harvard/US Navy who developed first compiler and COBOL language
1952,IBM,United States,Corporation,701 Computer,Company that produced the IBM 701 scientific computer
1953,IBM,United States,Corporation,650 Computer,Company that produced the IBM 650, a popular early computer
1954,Texas Instruments,United States,Corporation,Silicon Transistor,Company that developed the first silicon transistor
1956,Dartmouth Conference,United States,Academic Event,Artificial Intelligence,Conference that launched artificial intelligence as a field
1956,IBM,United States,Corporation,Disk Storage,Company that introduced the first magnetic disk storage device
1957,FORTRAN,United States,Software,Programming Language,First high-level programming language for scientific calculations
1958,Jack Kilby,United States,Pioneer,Integrated Circuit,Engineer at Texas Instruments who co-invented the integrated circuit
1958,John McCarthy,United States,Pioneer,LISP Language,Computer scientist who created LISP programming language
1959,Robert Noyce,United States,Pioneer,Integrated Circuit,Co-founder at Fairchild/Intel who co-invented the integrated circuit
